name_unoriented,determinant,num_crossings,matrix_zero,components,jones_factorable
L12a593,0,12,False,2,
L12a594,0,12,False,2,
L12a595,0,12,False,2,
L12a596,0,12,False,2,
L12a597,0,12,False,2,
L12a598,0,12,False,2,
L12a599,0,12,False,2,
L12a600,0,12,False,2,
L12a601,0,12,False,2,
L12a602,0,12,False,2,
L12a603,0,12,False,2,
L12a604,0,12,False,2,
L12a605,0,12,False,2,
L12a606,0,12,False,2,
L12a607,0,12,False,2,
L12a608,0,12,False,2,
L12a609,0,12,False,2,
L12a610,0,12,False,2,
L12a611,0,12,False,2,
L12a612,0,12,False,2,
L12a613,0,12,False,2,
L12a614,0,12,False,2,
L12a615,0,12,False,2,
L12a616,0,12,False,2,
L12a617,0,12,False,2,
L12a618,0,12,False,2,
L12a619,0,12,False,2,
L12a620,0,12,False,2,
L12a621,0,12,False,2,
L12a622,0,12,False,2,
L12a623,0,12,False,2,
L12a624,0,12,False,2,
L12a625,0,12,False,2,
L12a626,0,12,False,2,
L12a627,0,12,False,2,
L12a628,0,12,False,2,
L12a629,0,12,False,2,
L12a630,0,12,False,2,
L12a631,0,12,False,2,
L12a632,0,12,False,2,
L12a633,0,12,False,2,
L12a634,0,12,False,2,
L12a635,0,12,False,2,
L12a636,0,12,False,2,
L12a637,0,12,False,2,
L12a638,0,12,False,2,
L12a639,0,12,False,2,
L12a640,0,12,False,2,
L12a641,0,12,False,2,
L12a642,0,12,False,2,
L12a643,0,12,False,2,
L12a644,0,12,False,2,
L12a645,0,12,False,2,
L12a646,0,12,False,2,
L12a647,0,12,False,2,
L12a648,0,12,False,2,
L12a649,0,12,False,2,
L12a650,0,12,False,2,
L12a651,0,12,False,2,
L12a652,0,12,False,2,
L12a653,0,12,False,2,
L12a654,0,12,False,2,
L12a655,0,12,False,2,
L12a656,0,12,False,2,
L12a657,0,12,False,2,
L12a658,0,12,False,2,
L12a659,0,12,False,2,
L12a660,0,12,False,2,
L12a661,0,12,False,2,
L12a662,0,12,False,2,
L12a663,0,12,False,2,
L12a664,0,12,False,2,
L12a665,0,12,False,2,
L12a666,0,12,False,2,
L12a667,0,12,False,2,
L12a668,0,12,False,2,
L12a669,0,12,False,2,
L12a670,0,12,False,2,
L12a671,0,12,False,2,
L12a672,0,12,False,2,
L12a673,0,12,False,2,
L12a674,0,12,False,2,
L12a675,0,12,False,2,
L12a676,0,12,False,2,
L12a677,0,12,False,2,
L12a678,0,12,False,2,
L12a679,0,12,False,2,
L12a680,0,12,False,2,
L12a681,0,12,False,2,
L12a682,0,12,False,2,
L12a683,0,12,False,2,
L12a684,0,12,False,2,
L12a685,0,12,False,2,
L12a686,0,12,False,2,
L12a687,0,12,False,2,
L12a688,0,12,False,2,
L12a689,0,12,False,2,
L12a690,0,12,False,2,
L12a691,0,12,False,2,
L12a692,0,12,False,2,
L12a693,0,12,False,2,
L12a694,0,12,False,2,
L12a695,0,12,False,2,
L12a696,0,12,False,2,
L12a697,0,12,False,2,
L12a698,0,12,False,2,
L12a699,0,12,False,2,
L12a700,0,12,False,2,
L12a701,0,12,False,2,
L12a702,0,12,False,2,
L12a703,0,12,False,2,
L12a704,0,12,False,2,
L12a705,0,12,False,2,
L12a706,0,12,False,2,
L12a707,0,12,False,2,
L12a708,0,12,False,2,
L12a709,0,12,False,2,
L12a710,0,12,False,2,
L12a711,0,12,False,2,
L12a712,0,12,False,2,
L12a713,0,12,False,2,
L12a714,0,12,False,2,
L12a715,0,12,False,2,
L12a716,0,12,False,2,
L12a717,0,12,False,2,
L12a718,0,12,False,2,
L12a719,0,12,False,2,
L12a720,0,12,False,2,
L12a721,0,12,False,2,
L12a722,0,12,False,2,
L12a723,0,12,False,2,
L12a724,0,12,False,2,
L12a725,0,12,False,2,
L12a726,0,12,False,2,
L12a727,0,12,False,2,
L12a728,0,12,False,2,
L12a729,0,12,False,2,
L12a730,0,12,False,2,
L12a731,0,12,False,2,
L12a732,0,12,False,2,
L12a733,0,12,False,2,
L12a734,0,12,False,2,
L12a735,0,12,False,2,
L12a736,0,12,False,2,
L12a737,0,12,False,2,
L12a738,0,12,False,2,
L12a739,0,12,False,2,
L12a740,0,12,False,2,
L12a741,0,12,False,2,
L12a742,0,12,False,2,
L12a743,0,12,False,2,
L12a744,0,12,False,2,
L12a745,0,12,False,2,
L12a746,0,12,False,2,
L12a747,0,12,False,2,
L12a748,0,12,False,2,
L12a749,0,12,False,2,
L12a750,0,12,False,2,
L12a751,0,12,False,2,
L12a752,0,12,False,2,
L12a753,0,12,False,2,
L12a754,0,12,False,2,
L12a755,0,12,False,2,
L12a756,0,12,False,2,
L12a757,0,12,False,2,
L12a758,0,12,False,2,
L12a759,0,12,False,2,
L12a760,0,12,False,2,
L12a761,0,12,False,2,
L12a762,0,12,False,2,
L12a763,0,12,False,2,
L12a764,0,12,False,2,
L12a765,0,12,False,2,
L12a766,0,12,False,2,
L12a767,0,12,False,2,
L12a768,0,12,False,2,
L12a769,0,12,False,2,
L12a770,0,12,False,2,
L12a771,0,12,False,2,
L12a772,0,12,False,2,
L12a773,0,12,False,2,
L12a774,0,12,False,2,
L12a775,0,12,False,2,
L12a776,0,12,False,2,
L12a777,0,12,False,2,
L12a778,0,12,False,2,
L12a779,0,12,False,2,
L12a780,0,12,False,2,
L12a781,0,12,False,2,
L12a782,0,12,False,2,
L12a783,0,12,False,2,
L12a784,0,12,False,2,
L12a785,0,12,False,2,
L12a786,0,12,False,2,
L12a787,0,12,False,2,
L12a788,0,12,False,2,
L12a789,0,12,False,2,
L12a790,0,12,False,2,
L12a791,0,12,False,2,
L12a792,0,12,False,2,
L12a793,0,12,False,2,
L12a794,0,12,False,2,
L12a795,0,12,False,2,
L12a796,0,12,False,2,
L12a797,0,12,False,2,
L12a798,0,12,False,2,
L12a799,0,12,False,2,
L12a800,0,12,False,2,
L12a801,0,12,False,2,
L12a802,0,12,False,2,
L12a803,0,12,False,2,
L12a804,0,12,False,2,
L12a805,0,12,False,2,
L12a806,0,12,False,2,
L12a807,0,12,False,2,
L12a808,0,12,False,2,
L12a809,0,12,False,2,
L12a810,0,12,False,2,
L12a811,0,12,False,2,
L12a812,0,12,False,2,
L12a813,0,12,False,2,
L12a814,0,12,False,2,
L12a815,0,12,False,2,
L12a816,0,12,False,2,
L12a817,0,12,False,2,
L12a818,0,12,False,2,
L12a819,0,12,False,2,
L12a820,0,12,False,2,
L12a821,0,12,False,2,
L12a822,0,12,False,2,
L12a823,0,12,False,2,
L12a824,0,12,False,2,
L12a825,0,12,False,2,
L12a826,0,12,False,2,
L12a827,0,12,False,2,
L12a828,0,12,False,2,
L12a829,0,12,False,2,
L12a830,0,12,False,2,
L12a831,0,12,False,2,
L12a832,0,12,False,2,
L12a833,0,12,False,2,
L12a834,0,12,False,2,
L12a835,0,12,False,2,
L12a836,0,12,False,2,
L12a837,0,12,False,2,
L12a838,0,12,False,2,
L12a839,0,12,False,2,
L12a840,0,12,False,2,
L12a841,0,12,True,2,
L12a842,0,12,True,2,
L12a843,0,12,True,2,
L12a844,0,12,False,2,
L12a845,0,12,False,2,
L12a846,0,12,True,2,
L12a847,0,12,False,2,
L12a848,0,12,False,2,
L12a849,0,12,True,2,
L12a850,0,12,False,2,
L12a851,0,12,True,2,
L12a852,0,12,True,2,
L12a853,0,12,False,2,
L12a854,0,12,True,2,
L12a855,0,12,False,2,
L12a856,0,12,False,2,
L12a857,0,12,True,2,
L12a858,0,12,False,2,
L12a859,0,12,False,2,
L12a860,0,12,False,2,
L12a861,0,12,True,2,
L12a862,0,12,False,2,
L12a863,0,12,False,2,
L12a864,0,12,False,2,
L12a865,0,12,True,2,
L12a866,0,12,True,2,
L12a867,0,12,False,2,
L12a868,0,12,False,2,
L12a869,0,12,False,2,
L12a870,0,12,False,2,
L12a871,0,12,True,2,
L12a872,0,12,True,2,
L12a873,0,12,True,2,
L12a874,0,12,True,2,
L12a875,0,12,False,2,
L12a876,0,12,False,2,
L12a877,0,12,True,2,
L12a878,0,12,True,2,
L12a879,0,12,False,2,
L12a880,0,12,False,2,
L12a881,0,12,False,2,
L12a882,0,12,False,2,
L12a883,0,12,False,2,
L12a884,0,12,False,2,
L12a885,0,12,False,2,
L12a886,0,12,False,2,
L12a887,0,12,False,2,
L12a888,0,12,True,2,
L12a889,0,12,False,2,
L12a890,0,12,False,2,
L12a891,0,12,False,2,
L12a892,0,12,False,2,
L12a893,0,12,False,2,
L12a894,0,12,False,2,
L12a895,0,12,False,2,
L12a896,0,12,False,2,
L12a897,0,12,False,2,
L12a898,0,12,True,2,
L12a899,0,12,True,2,
L12a900,0,12,False,2,
L12a901,0,12,False,2,
L12a902,0,12,False,2,
L12a903,0,12,False,2,
L12a904,0,12,False,2,
L12a905,0,12,False,2,
L12a906,0,12,False,2,
L12a907,0,12,True,2,
L12a908,0,12,True,2,
L12a909,0,12,False,2,
L12a910,0,12,True,2,
L12a911,0,12,False,2,
L12a912,0,12,False,2,
L12a913,0,12,False,2,
L12a914,0,12,True,2,
L12a915,0,12,True,2,
L12a916,0,12,True,2,
L12a917,0,12,False,2,
L12a918,0,12,True,2,
L12a919,0,12,False,2,
L12a920,0,12,True,2,
L12a921,0,12,True,2,
L12a922,0,12,True,2,
L12a923,0,12,True,2,
L12a924,0,12,False,2,
L12a925,0,12,False,2,
L12a926,0,12,False,2,
L12a927,0,12,False,2,
L12a928,0,12,True,2,
L12a929,0,12,True,2,
L12a930,0,12,True,2,
L12a931,0,12,True,2,
L12a932,0,12,True,2,
L12a933,0,12,True,2,
L12a934,0,12,True,2,
L12a935,0,12,True,2,
L12a936,0,12,False,2,
L12a937,0,12,False,2,
L12a938,0,12,False,2,
L12a939,0,12,False,2,
L12a940,0,12,False,2,
L12a941,0,12,False,2,
L12a942,0,12,True,2,
L12a943,0,12,True,2,
L12a944,0,12,False,2,
L12a945,0,12,True,2,
L12a946,0,12,True,2,
L12a947,0,12,True,2,
L12a948,0,12,False,2,
L12a949,0,12,False,2,
L12a950,0,12,False,2,
L12a951,0,12,False,2,
L12a952,0,12,True,2,
L12a953,0,12,False,2,
L12a954,0,12,False,2,
L12a955,0,12,True,2,
L12a956,0,12,False,2,
L12a957,0,12,False,2,
L12a958,0,12,False,2,
L12a959,0,12,True,2,
L12a960,0,12,True,2,
L12a961,0,12,False,2,
L12a962,0,12,True,2,
L12a963,0,12,False,2,
L12a964,0,12,False,2,
L12a965,0,12,False,2,
L12a966,0,12,True,2,
L12a967,0,12,False,2,
