,name_unoriented,matrix_zero
2884,L11n57,False
2886,L11n58,False
2888,L11n59,False
2890,L11n60,False
2892,L11n61,False
2894,L11n62,False
2896,L11n63,False
2898,L11n64,False
2900,L11n65,False
2902,L11n66,False
2904,L11n67,False
2906,L11n68,False
2908,L11n69,False
2910,L11n70,False
2912,L11n71,False
2914,L11n72,False
2916,L11n73,False
2918,L11n74,False
2920,L11n75,False
2922,L11n76,False
2924,L11n77,False
2926,L11n78,True
2928,L11n79,False
2930,L11n80,True
2932,L11n81,True
2934,L11n82,False
2936,L11n83,True
2938,L11n84,False
2940,L11n85,False
2942,L11n86,False
2944,L11n87,False
2946,L11n88,True
2948,L11n89,False
2950,L11n90,False
2952,L11n91,True
2954,L11n92,True
2956,L11n93,True
2958,L11n94,True
2960,L11n95,False
2962,L11n96,False
2964,L11n97,False
2966,L11n98,False
2968,L11n99,False
2970,L11n100,False
2972,L11n101,False
2974,L11n102,True
2976,L11n103,False
2978,L11n104,False
2980,L11n105,True
2982,L11n106,False
2984,L11n107,True
2986,L11n108,False
2988,L11n109,False
2990,L11n110,False
2992,L11n111,False
2994,L11n112,True
2996,L11n113,True
2998,L11n114,True
3000,L11n115,False
3002,L11n116,False
3004,L11n117,False
3006,L11n118,True
3008,L11n119,True
3010,L11n120,False
3012,L11n121,False
3014,L11n122,False
3016,L11n123,False
3018,L11n124,True
3020,L11n125,False
3022,L11n126,False
3024,L11n127,False
3026,L11n128,False
3028,L11n129,False
3030,L11n130,False
3032,L11n131,False
3034,L11n132,False
3036,L11n133,False
3038,L11n134,False
3040,L11n135,False
3042,L11n136,False
3044,L11n137,False
3046,L11n138,False
3048,L11n139,False
3050,L11n140,False
3052,L11n141,False
3054,L11n142,False
3056,L11n143,False
3058,L11n144,False
3060,L11n145,False
3062,L11n146,False
3064,L11n147,False
3066,L11n148,False
3068,L11n149,False
3070,L11n150,False
3072,L11n151,False
3074,L11n152,False
3076,L11n153,False
3078,L11n154,False
3080,L11n155,False
3082,L11n156,False
3084,L11n157,False
3086,L11n158,False
3088,L11n159,False
3090,L11n160,False
3092,L11n161,False
3094,L11n162,False
3096,L11n163,False
3098,L11n164,False
3100,L11n165,False
3102,L11n166,False
3104,L11n167,False
3106,L11n168,False
3108,L11n169,False
3110,L11n170,False
3112,L11n171,False
3114,L11n172,False
3116,L11n173,False
3118,L11n174,False
3120,L11n175,False
3122,L11n176,False
3124,L11n177,False
3126,L11n178,False
3128,L11n179,False
3130,L11n180,False
3132,L11n181,False
3134,L11n182,False
3136,L11n183,False
3138,L11n184,False
3140,L11n185,False
3142,L11n186,False
3144,L11n187,False
3146,L11n188,False
3148,L11n189,False
3150,L11n190,False
3152,L11n191,False
3154,L11n192,False
3156,L11n193,False
3158,L11n194,False
3160,L11n195,False
3162,L11n196,False
3164,L11n197,False
3166,L11n198,False
3168,L11n199,False
3170,L11n200,False
3172,L11n201,False
3174,L11n202,True
3176,L11n203,True
3178,L11n204,False
3180,L11n205,False
3182,L11n206,True
3184,L11n207,False
3186,L11n208,False
3188,L11n209,False
3190,L11n210,False
3192,L11n211,False
3194,L11n212,False
3196,L11n213,False
3198,L11n214,False
3200,L11n215,False
3202,L11n216,True
3204,L11n217,True
3206,L11n218,True
3208,L11n219,True
3210,L11n220,False
3212,L11n221,False
3214,L11n222,False
3216,L11n223,True
3218,L11n224,False
3220,L11n225,True
3222,L11n226,True
3224,L11n227,True
3226,L11n228,False
3228,L11n229,False
3230,L11n230,False
3232,L11n231,False
3234,L11n232,False
3236,L11n233,False
3238,L11n234,True
3240,L11n235,False
3242,L11n236,False
3244,L11n237,False
3246,L11n238,False
3248,L11n239,False
3250,L11n240,True
3252,L11n241,True
3254,L11n242,True
3256,L11n243,False
3258,L11n244,True
3260,L11n245,True
3262,L11n246,False
3264,L11n247,True
3266,L11n248,True
3268,L11n249,False
3270,L11n250,False
3272,L11n251,True
3274,L11n252,False
3276,L11n253,False
3278,L11n254,False
3280,L11n255,False
3284,L11n256,False
3288,L11n257,False
3292,L11n258,False
3296,L11n259,False
3300,L11n260,False
3304,L11n261,False
3308,L11n262,False
3312,L11n263,False
3316,L11n264,False
3320,L11n265,False
3324,L11n266,False
3328,L11n267,False
3332,L11n268,False
3336,L11n269,False
3340,L11n270,False
3344,L11n271,False
3348,L11n272,False
3352,L11n273,False
3356,L11n274,False
3360,L11n275,False
3364,L11n276,False
3368,L11n277,False
3372,L11n278,False
3376,L11n279,False
3380,L11n280,False
3384,L11n281,False
3388,L11n282,True
3392,L11n283,False
3396,L11n284,False
3400,L11n285,False
3404,L11n286,False
3408,L11n287,True
3412,L11n288,False
3416,L11n289,False
3420,L11n290,True
3424,L11n291,False
3428,L11n292,False
3432,L11n293,True
3436,L11n294,False
3440,L11n295,False
3444,L11n296,False
3448,L11n297,False
3452,L11n298,False
3456,L11n299,False
3460,L11n300,False
3464,L11n301,False
3468,L11n302,False
3472,L11n303,False
3476,L11n304,False
3480,L11n305,False
3484,L11n306,False
3488,L11n307,False
3492,L11n308,False
3496,L11n309,False
3500,L11n310,False
3504,L11n311,False
3508,L11n312,False
3512,L11n313,False
3516,L11n314,False
3520,L11n315,False
3524,L11n316,False
3528,L11n317,False
3532,L11n318,False
3536,L11n319,False
3540,L11n320,False
3544,L11n321,False
3548,L11n322,False
3552,L11n323,False
3556,L11n324,False
3560,L11n325,False
3564,L11n326,False
3568,L11n327,False
3572,L11n328,False
3576,L11n329,False
3580,L11n330,False
3584,L11n331,False
3588,L11n332,False
3592,L11n333,False
3596,L11n334,False
3600,L11n335,False
3604,L11n336,False
3608,L11n337,False
3612,L11n338,False
3616,L11n339,False
3620,L11n340,False
3624,L11n341,False
3628,L11n342,False
3632,L11n343,False
3636,L11n344,False
3640,L11n345,False
3644,L11n346,False
3648,L11n347,False
3652,L11n348,False
3656,L11n349,False
3660,L11n350,False
3664,L11n351,False
3668,L11n352,False
3672,L11n353,True
3676,L11n354,False
3680,L11n355,False
3684,L11n356,False
3688,L11n357,False
3692,L11n358,False
3696,L11n359,False
3700,L11n360,False
3704,L11n361,False
3708,L11n362,False
3712,L11n363,False
3716,L11n364,False
3720,L11n365,False
3724,L11n366,False
3728,L11n367,False
3732,L11n368,False
3736,L11n369,False
3740,L11n370,False
3744,L11n371,False
3748,L11n372,False
3752,L11n373,False
3756,L11n374,False
3760,L11n375,False
3764,L11n376,False
3768,L11n377,False
3772,L11n378,True
3776,L11n379,False
3780,L11n380,False
3784,L11n381,True
3788,L11n382,False
3792,L11n383,False
3796,L11n384,True
3800,L11n385,False
3804,L11n386,True
3808,L11n387,True
3812,L11n388,True
3816,L11n389,False
3820,L11n390,False
3824,L11n391,False
3828,L11n392,False
3832,L11n393,False
3836,L11n394,False
3840,L11n395,True
3844,L11n396,True
3848,L11n397,False
3852,L11n398,False
3856,L11n399,False
3860,L11n400,False
3864,L11n401,False
3868,L11n402,False
3872,L11n403,False
3876,L11n404,True
3880,L11n405,False
3884,L11n406,True
3888,L11n407,False
3892,L11n408,True
3896,L11n409,True
3900,L11n410,False
3904,L11n411,False
3908,L11n412,False
3912,L11n413,False
3916,L11n414,False
3920,L11n415,False
3924,L11n416,False
3928,L11n417,False
3932,L11n418,False
3936,L11n419,False
3940,L11n420,False
3944,L11n421,False
3948,L11n422,False
3952,L11n423,False
3956,L11n424,False
3960,L11n425,False
3964,L11n426,False
3968,L11n427,False
3972,L11n428,False
3976,L11n429,False
3980,L11n430,False
3984,L11n431,False
3988,L11n432,False
3992,L11n433,False
3996,L11n434,False
4000,L11n435,False
4004,L11n436,True
4008,L11n437,False
4012,L11n438,False
4020,L11n439,False
4028,L11n440,False
4036,L11n441,False
4044,L11n442,False
4052,L11n443,False
4060,L11n444,False
4068,L11n445,False
4076,L11n446,False
4084,L11n447,False
4092,L11n448,False
4100,L11n449,False
4108,L11n450,False
4116,L11n451,False
4124,L11n452,False
4132,L11n453,False
4140,L11n454,False
4148,L11n455,False
4156,L11n456,False
4164,L11n457,False
4172,L11n458,False
4180,L11n459,False
